NAME,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,ISO3
Quebrada del Condorito,National Reserve,National,VI,Not Applicable,Designated,1996,Federal or national ministry or agency,ARG
Makenke,Interjurisdictional Marine Park,National,Not Reported,Not Applicable,Designated,2012,Federal or national ministry or agency,ARG
El Impenetrable,National Park,National,II,Not Applicable,Designated,2014,Federal or national ministry or agency,ARG
Patagonia,National Park,National,II,Not Applicable,Designated,2015,Federal or national ministry or agency,ARG
Pizarro,National Reserve,National,VI,Not Applicable,Designated,2015,Federal or national ministry or agency,ARG
San Guillermo,National Park,National,II,Not Applicable,Designated,1999,Federal or national ministry or agency,ARG
El Rincón,Wilderness Nature Reserve,National,Ib,Not Applicable,Designated,2016,Federal or national ministry or agency,ARG
El Nogalar de Los Toldos,National Reserve,National,VI,Not Applicable,Designated,2006,Federal or national ministry or agency,ARG
Bosques Petrificados de Jaramillo,National Park,National,II,Not Applicable,Designated,2012,Federal or national ministry or agency,ARG
Islas de Santa Fé,National Park,National,II,Not Applicable,Designated,2010,Federal or national ministry or agency,ARG
Isla El Tala,Nature Reserve of Defense,National,Not Reported,Not Applicable,Designated,2012,Federal or national ministry or agency,ARG
Campos del Tuyú,National Park,National,II,Not Applicable,Designated,2009,Federal or national ministry or agency,ARG
Campo Garabato,Nature Reserve of Defense,National,Not Reported,Not Applicable,Designated,2012,Federal or national ministry or agency,ARG
Mar Chiquita - Dragones de Malvinas,Nature Reserve of Defense,National,Not Reported,Not Applicable,Designated,2009,Federal or national ministry or agency,ARG
Baterías - Charles Darwin,Nature Reserve of Defense,National,Not Reported,Not Applicable,Designated,2013,Federal or national ministry or agency,ARG
Quebrada del Portugues - Estancia El Mollar,Nature Reserve of Defense,National,Not Reported,Not Applicable,Designated,2014,Federal or national ministry or agency,ARG
Ascochinga,Nature Reserve of Defense,National,Not Reported,Not Applicable,Designated,2014,Federal or national ministry or agency,ARG
Punta Buenos Aires,Nature Reserve of Defense,National,Not Reported,Not Applicable,Designated,2008,Federal or national ministry or agency,ARG
Guardaparque Horacio Foerster,Provincial Park,National,II,Not Applicable,Designated,1992,Sub-national ministry or agency,ARG
Cruce Caballero,Provincial Park,National,II,Not Applicable,Designated,1989,Sub-national ministry or agency,ARG
Araucaria,Provincial Park,National,II,Not Applicable,Designated,1991,Sub-national ministry or agency,ARG
Andres Giai,Protected Landscape,National,V,Not Applicable,Designated,1997,Not Reported,ARG
Corpus,Ichthyic Reserve,National,VI,Not Applicable,Designated,1978,Sub-national ministry or agency,ARG
Yaguarundi,Private Wildlife Refuge,National,II,Not Applicable,Designated,2003,Not Reported,ARG
Teyú Cuare,Provincial Park,National,II,Not Applicable,Designated,1989,Sub-national ministry or agency,ARG
Sierra Crovetto,Provincial Park,National,II,Not Applicable,Designated,1996,Sub-national ministry or agency,ARG
Chachi,Private Wildlife Refuge,National,VI,Not Applicable,Designated,1990,Not Reported,ARG
Esmeralda,Provincial Park,National,II,Not Applicable,Designated,1992,Sub-national ministry or agency,ARG
Moconá,Provincial Park,National,II,Not Applicable,Designated,1988,Sub-national ministry or agency,ARG
Puerto San Juan,Private Reserve,National,VI,Not Applicable,Designated,1997,Not Reported,ARG
Cuña Pirú,Private Reserve,National,Not Reported,Not Applicable,Designated,2000,Not Reported,ARG
Isla Palacios,Nature Monument,National,III,Not Applicable,Designated,1996,Not Reported,ARG
Caa Pora,Private Reserve,National,Not Reported,Not Applicable,Designated,1990,Not Reported,ARG
La Ponderosa,Private Reserve,National,Not Reported,Not Applicable,Designated,2004,Not Reported,ARG
Uruzu,Provincial Park,National,II,Not Applicable,Designated,2004,Not Reported,ARG
Urugua-í,Wildlife Reserve,National,Ia,Not Applicable,Designated,2002,Not Reported,ARG
Valle del Arroyo Cuña-Pirú,Provincial Park,National,II,Not Applicable,Designated,1993,Sub-national ministry or agency,ARG
Grupo de la Isla,Provincial Park,National,II,Not Applicable,Designated,2005,Not Reported,ARG
Guaramboca,Provincial Park,National,II,Not Applicable,Designated,2006,Not Reported,ARG
Yacuy,Provincial Park,National,II,Not Applicable,Designated,1989,Sub-national ministry or agency,ARG
Puerto Peninsula,Provincial Park,National,II,Not Applicable,Designated,2004,Not Reported,ARG
Papel Misionero,Cultural Nature Reserve,National,VI,Not Applicable,Designated,1995,Not Reported,ARG
Guarani,Experimental Area,National,VI,Not Applicable,Designated,1975,Not Reported,ARG
San Miguel de la Frontera,Private Reserve,National,VI,Not Applicable,Designated,1993,Not Reported,ARG
Sierra de San Javier,University Park,National,II,Not Applicable,Designated,1973,Sub-national ministry or agency,ARG
Quebrada del Portugués,Nature Reserve,National,Ia,Not Applicable,Designated,1996,Sub-national ministry or agency,ARG
Cumbres Calchaquies,Provincial Park,National,II,Not Applicable,Designated,1965,Not Reported,ARG
Santa Ana,Nature Reserve,National,VI,Not Applicable,Designated,1951,Sub-national ministry or agency,ARG
La Angostura,Strict Nature Reserve,National,Ia,Not Applicable,Designated,1996,Sub-national ministry or agency,ARG
La Florida,Provincial Park,National,Ia,Not Applicable,Designated,1936,Sub-national ministry or agency,ARG
Las Lancitas,Provincial Nature Reserve,National,VI,Not Applicable,Designated,2002,Not Reported,ARG
Laguna Pintascayo,Provincial Park,National,II,Not Applicable,Designated,2000,Not Reported,ARG
Carabajal,Wildlife Reserve,National,IV,Not Applicable,Designated,1971,Sub-national ministry or agency,ARG
Quebrada de Humahuaca,Protected Landscape,National,V,Not Applicable,Designated,2000,Not Reported,ARG
Boca del Rio Bermejo,Fisheries Reserve,National,VI,Not Applicable,Designated,1971,Not Reported,ARG
Arroyo Ramirez,Fisheries Reserve,National,VI,Not Applicable,Designated,1967,Not Reported,ARG
Ischigualasto,Provincial Park,National,II,Not Applicable,Designated,1971,Sub-national ministry or agency,ARG
Valle Fértil,Multiple Use Reserve,National,VI,Not Applicable,Designated,1971,Not Reported,ARG
Cerro Alcázar,Nature Monument,National,III,Not Applicable,Designated,1993,Not Reported,ARG
Pedernal,Protected Landscape,National,V,Not Applicable,Designated,2000,Not Reported,ARG
La Ciénaga,Protected Nature Area,National,VI,Not Applicable,Designated,2005,Not Reported,ARG
Villavicencio,Private Reserve,National,Not Reported,Not Applicable,Designated,2000,Not Reported,ARG
Dique Quebrada de Ullum,Protected Landscape,National,V,Not Applicable,Designated,1981,Not Reported,ARG
Apipé Grande,Provincial Nature Reserve,National,VI,Not Applicable,Designated,1994,Not Reported,ARG
Rincón de Santa María,Provincial Nature Reserve,National,Ia,Not Applicable,Designated,1994,Not Reported,ARG
La Aurora del Palmar,Private Wildlife Refuge,National,VI,Not Applicable,Designated,1998,Not Reported,ARG
Rincón de Ajó,Integral Nature Reserve,National,IV,Not Applicable,Designated,1997,Sub-national ministry or agency,ARG
Guardia del Juncal,Municipal Nature Reserve,National,IV,Not Applicable,Designated,2006,Not Reported,ARG
Punta Lara,Mixed Integral Nature Reserve,National,Ia,Not Applicable,Designated,2001,Sub-national ministry or agency,ARG
Mar Chiquita,Wildlife Refuge,National,VI,Not Applicable,Designated,1998,Not Reported,ARG
Bahía de Samborombón,Integral Nature Reserve,National,VI,Not Applicable,Designated,1997,Sub-national ministry or agency,ARG
Pehuen Co-Monte Hermoso,Nature Reserve,National,IV,Not Applicable,Designated,2005,Sub-national ministry or agency,ARG
Arroyo Zabala,Multiple Use Nature Reserve,National,VI,Not Applicable,Designated,2001,Sub-national ministry or agency,ARG
Ernesto Tornquist,Provincial Park,National,II,Not Applicable,Designated,2001,Sub-national ministry or agency,ARG
Mar Chiquita,Multiple Use Nature Reserve,National,VI,Not Applicable,Designated,1989,Sub-national ministry or agency,ARG
Rio Lujan,Multiple Use Nature Reserve,National,VI,Not Applicable,Designated,1994,Not Reported,ARG
Barranca Norte,Nature Reserve,National,IV,Not Applicable,Designated,2011,Not Reported,ARG
Arroyo Los Gauchos,Multiple Use Nature Reserve,National,VI,Not Applicable,Designated,2011,Sub-national ministry or agency,ARG
Arroyo El Durazno,Nature Reserve,National,IV,Not Applicable,Designated,2011,Not Reported,ARG
Epulauquen,Tourist and Forest Provincial Reserve,National,VI,Not Applicable,Designated,1973,Not Reported,ARG
Copahue Caviahue,Provincial Park,National,II,Not Applicable,Designated,1962,Sub-national ministry or agency,ARG
San Lorenzo,Provincial Reserve,National,VI,Not Applicable,Designated,1993,Not Reported,ARG
La Payunia,Total Reserve,National,Ia,Not Applicable,Designated,1982,Sub-national ministry or agency,ARG
Chañy,Forest Reserve,National,Not Reported,Not Applicable,Designated,1986,Sub-national ministry or agency,ARG
Batea Mahuida,Forest Reserve,National,VI,Not Applicable,Designated,1968,Sub-national ministry or agency,ARG
Nant y Fall (Arroyo Las Caídas),Tourist Nature Reserve,National,VI,Not Applicable,Designated,1995,Sub-national ministry or agency,ARG
Lago Baggilt,Protected Nature Area,National,VI,Not Applicable,Designated,1996,Sub-national ministry or agency,ARG
Lago del Desierto,Provincial Reserve,National,VI,Not Applicable,Designated,2005,Not Reported,ARG
Punta Gruesa,Provincial Reserve,National,VI,Not Applicable,Designated,2002,Not Reported,ARG
Corazon de la Isla,Multiple Use Provincial Reserve,National,VI,Not Applicable,Designated,2000,Not Reported,ARG
Azul,Provincial Park,National,II,Not Applicable,Designated,2003,Not Reported,ARG
Cipresal de las Guaitecas,Protected Nature Area,National,V,Not Applicable,Designated,2005,Not Reported,ARG
Abra del Acay,Nature Monument,National,III,Not Applicable,Designated,1995,Not Reported,ARG
El Tromen,Provincial Park,National,II,Not Applicable,Designated,1971,Sub-national ministry or agency,ARG
Ría Azul - Lago Escondido,Protected Nature Area,National,VI,Not Applicable,Designated,1994,Sub-national ministry or agency,ARG
Lago Epuyén,Forest Reserve,National,VI,Not Applicable,Designated,2003,Sub-national ministry or agency,ARG
Río Turbio,Provincial Park and Forest Reserve,National,II,Not Applicable,Designated,1994,Sub-national ministry or agency,ARG
Laguna Negra,Multiple Use Provincial Reserve,National,VI,Not Applicable,Designated,2003,Not Reported,ARG
Rio Valdez,Multiple Use Provincial Reserve,National,VI,Not Applicable,Designated,2003,Not Reported,ARG
Playa Larga,Nature and Cultural Reserve,National,V,Not Applicable,Designated,1997,Sub-national ministry or agency,ARG
Laguna Leandro,Nature Monument,National,III,Not Applicable,Designated,1985,Sub-national ministry or agency,ARG
Don Carmelo,Private Reserve,National,VI,Not Applicable,Designated,1993,Not Reported,ARG
El Gato y Lomas Limpias,Multiple Use Reserve,National,VI,Not Applicable,Designated,2006,Not Reported,ARG
Escuela Rural Juan B. Alberdi,Multiple Use Reserve,National,VI,Not Applicable,Designated,1992,Not Reported,ARG
Cañada Molina,Provincial Nature Monument,National,III,Not Applicable,Designated,1993,Sub-national ministry or agency,ARG
Escuela Rural Enrique Berduc,Multiple Use Reserve,National,VI,Not Applicable,Designated,1997,Not Reported,ARG
Limay Mahuida,Nature Reserve,National,VI,Not Applicable,Designated,1974,Sub-national ministry or agency,ARG
Parque Luro,Flora and Fauna Reserve with Managed Resources,National,VI,Not Applicable,Designated,1967,Sub-national ministry or agency,ARG
La Reforma,Nature Reserve,National,VI,Not Applicable,Designated,1974,Sub-national ministry or agency,ARG
Laguna Guatrache,Nature Reserve,National,VI,Not Applicable,Designated,1991,Sub-national ministry or agency,ARG
Laguna La Felipa,Nature Fauna Reserve,National,VI,Not Applicable,Designated,1986,Sub-national ministry or agency,ARG
Estancia Ralicó,Nature Forest Reserve,National,VI,Not Applicable,Designated,2004,Not Reported,ARG
"Bahía Blanca, Bahía Falsa y Bahía Verde",Multiple Use Nature Reserve,National,VI,Not Applicable,Designated,1998,Sub-national ministry or agency,ARG
Punta del Márquez,Tourist and Scientific Research Nature Reserve,National,IV,Not Applicable,Designated,2002,Not Reported,ARG
Costa Atlántica Tierra del Fuego,Hemispheric Shorebird Reserve,National,IV,Not Applicable,Designated,1992,Sub-national ministry or agency,ARG
Bahía San Blas,Wildlife Refuge,National,VI,Not Applicable,Designated,2001,Not Reported,ARG
Bahía San Blas,Multiple Use Nature Reserve,National,VI,Not Applicable,Designated,2001,Sub-national ministry or agency,ARG
Iberá,Provincial Nature Reserve,National,VI,Not Applicable,Designated,1982,Sub-national ministry or agency,ARG
La Quebrada,Nature Water Reserve,National,VI,Not Applicable,Designated,1987,Sub-national ministry or agency,ARG
Pampa de Achala,Provincial Water Reserve,National,VI,Not Applicable,Designated,1999,Not Reported,ARG
Península San Julián,Provincial Reserve,National,VI,Not Applicable,Designated,1986,Sub-national ministry or agency,ARG
Bañados del Río Dulce y Laguna de Mar Chiquita,Multiple Use Provincial Reserve,National,VI,Not Applicable,Designated,1994,Not Reported,ARG
Cerro Colorado,Nature and Cultural Reserve,National,VI,Not Applicable,Designated,1957,Sub-national ministry or agency,ARG
Los Palmares,Flora and Fauna Reserve,National,VI,Not Applicable,Designated,1979,Sub-national ministry or agency,ARG
Copo,Multiple Use Provincial Reserve,National,VI,Not Applicable,Designated,2002,Not Reported,ARG
Fuerte Esperanza,Provincial Park,National,II,Not Applicable,Designated,2000,Not Reported,ARG
Salinas Grandes,Multiple Use Provincial Reserve,National,VI,Not Applicable,Designated,2003,Not Reported,ARG
Chancani,Provincial Nature Park and Natural Forest Reserve,National,VI,Not Applicable,Designated,1986,Sub-national ministry or agency,ARG
Monte de las Barrancas,Wildlife Refuge,National,VI,Not Applicable,Designated,1988,Sub-national ministry or agency,ARG
Bañado la Estrella,Provincial Nature Reserve,National,Not Reported,Not Applicable,Designated,2005,Not Reported,ARG
Auca Mahuida,Multiple Use Nature Reserve,National,VI,Not Applicable,Designated,1996,Sub-national ministry or agency,ARG
Cuchillo-Cura,Provincial Park,National,II,Not Applicable,Designated,2003,Not Reported,ARG
Rio Limay,Protected Nature Area - Protected Landscape,National,V,Not Applicable,Designated,1996,Sub-national ministry or agency,ARG
Cueva de las Manos,Nature Historical and Cultural Heritage Site,National,III,Not Applicable,Designated,1999,Not Reported,ARG
Boca del Chimehuin,Provincial Park,National,II,Not Applicable,Designated,2000,Not Reported,ARG
Punta Tombo,Tourist Nature Reserve,National,IV,Not Applicable,Designated,1972,Sub-national ministry or agency,ARG
Meseta de Somuncurá,Protected Nature Area,National,VI,Not Applicable,Designated,1986,Sub-national ministry or agency,ARG
Ría de Puerto Deseado,Intangible Nature Reserve,National,VI,Not Applicable,Designated,1977,Sub-national ministry or agency,ARG
Laguna Aleusco,Tourist Nature Reserve,National,VI,Not Applicable,Designated,1983,Sub-national ministry or agency,ARG
Cabo dos Bahías,Tourist Nature Reserve,National,IV,Not Applicable,Designated,1973,Sub-national ministry or agency,ARG
Bosque Petrificado Sarmiento,Tourist Nature Reserve,National,III,Not Applicable,Designated,1973,Sub-national ministry or agency,ARG
Piedra Parada,Tourist Nature Reserve,National,VI,Not Applicable,Designated,2006,Not Reported,ARG
Tucu-Tucu,Provincial Reserve,National,VI,Not Applicable,Designated,2006,Not Reported,ARG
Meseta Lago Strobel,Reserve with purposes of public utility,National,VI,Not Applicable,Designated,2003,Not Reported,ARG
Pint Rupestres Rio Chalia o Shehuen,Provincial Reserve,National,VI,Not Applicable,Designated,2007,Not Reported,ARG
Isla Solitaria,Limited Use Area Under Special Protection,National,VI,Not Applicable,Designated,2001,Not Reported,ARG
Los Escarchados,Provincial Nature Reserve,National,VI,Not Applicable,Designated,1979,Not Reported,ARG
Bloque Herratico,Nature Monument,National,III,Not Applicable,Designated,2009,Not Reported,ARG
Laguna Azul,Provincial Reserve,National,VI,Not Applicable,Designated,2005,Not Reported,ARG
Cabo Vírgenes,Provincial Reserve,National,IV,Not Applicable,Designated,1986,Sub-national ministry or agency,ARG
Aves Migratorias,Provincial Reserve,National,IV,Not Applicable,Designated,2001,Sub-national ministry or agency,ARG
Bahía San Julián,Limited Use Area Under Special Protection,National,V,Not Applicable,Designated,1990,Not Reported,ARG
Isla Cormorán y Banco de Justicia,Limited Use Area Under Special Protection,National,VI,Not Applicable,Designated,1990,Sub-national ministry or agency,ARG
Barco Hundido,Provincial Reserve,National,III,Not Applicable,Designated,2002,Sub-national ministry or agency,ARG
Caleta Olivia,Provincial Reserve,National,VI,Not Applicable,Designated,2008,Not Reported,ARG
Humedal Caleta Olivia,Provincial Reserve,National,VI,Not Applicable,Designated,2000,Sub-national ministry or agency,ARG
Meseta Espinosa y El Cordon,Hydrological Reserve,National,VI,Not Applicable,Designated,1990,Not Reported,ARG
Península de Valdés,Tourist Nature Reserve,National,VI,Not Applicable,Designated,1983,Sub-national ministry or agency,ARG
Alto Andina de la Chinchilla,Provincial Reserve,National,VI,Not Applicable,Designated,1992,Sub-national ministry or agency,ARG
Olaroz Caucharí,Provincial Faunal Reserve,National,VI,Not Applicable,Designated,1981,Sub-national ministry or agency,ARG
El Fisco,Managed Nature Reserve,National,VI,Not Applicable,Designated,2008,Not Reported,ARG
Golfo San José,Tourist Nature Reserve,National,II,Not Applicable,Designated,1974,Sub-national ministry or agency,ARG
Bosque Petrificado Ea. La Urbana,Provincial Nature Reserve,National,VI,Not Applicable,Designated,2004,Not Reported,ARG
